Type of Fault,Test Pattern,Fault-Free Response
1,00010,00
1,01111,10
1,01000,11
1,11100,11
0,01000,11
0,11100,11
0,10011,01
0,00101,11
1,10001,01
1,00101,01
1,00010,10
1,00111,00
1,11111,00
1,01101,10
1,01110,01
1,11110,10
1,11111,10
1,10111,00
1,11010,11
1,00011,01
0,01011,11
0,01101,11
0,11100,11
0,00011,11
0,00101,01
1,00000,01
0,00110,00
0,01111,00
0,10011,01
0,10110,10
0,10111,10
0,11110,10
1,01010,10
1,01100,10
1,11001,11
1,11100,11
1,10000,01
0,10111,11
1,00111,00
1,10011,01
1,01000,11
1,01101,11
1,11000,11
0,10101,11
0,11010,11
0,01001,11
0,01101,11
1,10111,11
1,11110,10
1,00010,01
1,01110,00
1,10010,00
